file_name,file_size,s_created_time,s_modified_time,s_mft_modified_time,s_last_accessed_time,f_created_time,f_modified_time,f_mft_modified_time,f_last_accessed_time,status,file_full_path
$MFT,16.0KB,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,In use,./$MFT
$MFTMirr,4.0KB,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,In use,./$MFTMirr
$LogFile,8.6MB,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,In use,./$LogFile
$Volume,0.0B,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,In use,./$Volume
$AttrDef,4.0KB,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,In use,./$AttrDef
.,0.0B,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:47:55.621302,2020-02-04 18:47:55.621302,2020-02-04 18:47:55.621302,In use directory,./.
$Bitmap,128.0KB,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,In use,./$Bitmap
$Boot,8.0KB,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,In use,./$Boot
$BadClus,0.0B,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,In use,./$BadClus
$Secure,0.0B,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,Don't know,./$Secure
$UpCase,128.0KB,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,In use,./$UpCase
$Extend,0.0B,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,In use directory,./$Extend
$Quota,0.0B,2020-02-04 18:32:53.699180,2020-02-04 18:32:53.699180,2020-02-04 18:32:53.699180,2020-02-04 18:32:53.699180,2020-02-04 18:32:53.699180,2020-02-04 18:32:53.699180,2020-02-04 18:32:53.699180,2020-02-04 18:32:53.699180,Don't know,./$Extend/$Quota
