file_name,file_size,statuss_created_time,s_modified_time,s_mft_modified_time,s_last_accessed_time,f_created_time,f_modified_time,f_mft_modified_time,f_last_accessed_time,file_full_path
$MFT,512.0KB,In use,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,./$MFT
$MFTMirr,4.0KB,In use,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,./$MFTMirr
$LogFile,8.6MB,In use,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,./$LogFile
$Volume,0.0B,In use,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,./$Volume
$AttrDef,2.5KB,In use,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,./$AttrDef
.,0,In use directory,2020-02-04 18:32:51.353294,2020-02-04 18:47:55.621302,2020-02-04 18:47:55.621302,2020-02-04 18:47:55.621302,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,./.
$Bitmap,128.0KB,In use,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,./$Bitmap
$Boot,8.0KB,In use,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,./$Boot
$BadClus,4.0GB,In use,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,./$BadClus
$Secure,257.4KB,Don't know,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,2020-02-04 18:32:51.353294,./$Secure
